"Network.ID","Davidson_Resident","Count.Network.IDs","Avg.Time","Dupes","Priority.Police","Full.Funding.Police","Full.Funding.Sheriff"
"dac62147cc",1,2,2,1,"No","No","No"
"dc00a30e33",1,2,3,1,"No","No","No"
"dca76cec7f",0,2,0,2,"No","No","No"
"dfe0ff4c6c",1,2,6,1,"Yes","Yes","Yes"
"e1d953e247",1,2,12,0,"No","No","No"
"e336aa2df3",1,2,11,0,"No","No","No"
"e72d95e95d",1,2,8,0,"No","No","No"
"e7940e52cc",1,2,6,0,"Yes","Yes","Yes"
"e801448c5b",1,2,10,0,"No","No","No"
"ec9a960a56",1,2,10,0,"No","No","No"
"efa16bcd0f",1,2,12,0,"No","No","Yes"
"f3c53af47d",1,2,6,0,"Yes","Yes","Yes"
"f45fdfd549",1,2,6,0,"No","No","No"
"fd0ceae155",1,2,12,0,"No","Yes","Yes"
"fd5637d756",1,2,14,0,"No","No","No"
"ff24a95bcf",1,2,4,1,"No","No","No"
"0001f1e2d2",1,1,5,0,"No","No","No"
"001bafbd6e",1,1,10,0,"No","No","No"
"0022eebfa8",1,1,5,0,"No","No","No"
"005021cfd0",0,1,1,1,"No","No","No"
"007dc295b6",1,1,7,0,"No","No","No"
"008323f1d7",1,1,6,0,"No","No","No"
"008392e958",0,1,0,1,"No","No","No"
"008f7a102d",1,1,22,0,"No","No","No"
"010d50a716",1,1,12,0,"No","No","No"
"01164940f2",1,1,19,0,"No","No","No"
"0125a3b5fe",1,1,5,0,"No","No","No"
"012f10a33f",1,1,4,0,"No","No","No"
"0154c3019c",1,1,5,0,"Yes","Yes","Yes"
"015af8c3f5",1,1,6,0,"Yes","Yes","Yes"
"017766c712",1,1,4,0,"No","No","No"
"017b82071a",1,1,8,0,"No","No","No"
"0187a2f213",1,1,5,0,"No","No","No"
"01964839be",1,1,16,0,"No","No","No"
"0199cacdbb",1,1,7,0,"No","No","No"
"01a4a22510",1,1,7,0,"No","No","No"
"01b2a46c00",1,1,16,0,"No","No","No"
"01b83b21ec",1,1,5,0,"No","No","No"
"01f2b5bed8",1,1,28,0,"No","No","No"
"01f641dd30",1,1,8,0,"No","No","No"
"01f7088a76",0,1,0,1,"No","No","No"
"0218cf5412",1,1,12,0,"No","No","No"
"022320d4e7",1,1,7,0,"No","No","No"
"0224cded29",1,1,11,0,"Yes","Yes","Yes"
"0232ff2788",0,1,0,1,"No","No","No"
"02347cd267",1,1,12,0,"Yes","Yes","Yes"
"0240dd6e26",1,1,12,0,"Yes","Yes","Yes"
"0260478a9b",1,1,13,0,"No","No","No"
"026cd437ed",1,1,4,0,"No","No","No"
"02723bafa3",1,1,14,0,"Yes","Yes","Yes"
"027ff26beb",1,1,8,0,"No","No","No"
"02800b41a8",1,1,5,0,"No","No","No"
"02942a634e",1,1,9,0,"No","No","No"
"02ac3fc8bf",1,1,9,0,"No","No","No"
"02c9702c13",1,1,6,0,"Yes","Yes","Yes"
"02ede9fdd3",1,1,5,0,"No","No","No"
"02f3b705c1",1,1,9,0,"No","No","No"
"033c892536",1,1,13,0,"No","No","No"
"0342e1dba2",1,1,8,0,"No","No","No"
"0343f8b457",1,1,7,0,"No","No","No"
"036c191e0e",1,1,7,0,"Yes","Yes","Yes"
"03989e5abc",1,1,7,0,"No","No","No"
"039eeeda28",1,1,15,0,"No","No","No"
"039ef9c508",1,1,11,0,"No","No","No"
"03b50b4748",1,1,5,0,"No","No","No"
"03e66a9303",1,1,9,0,"No","No","No"
"03e8c0783e",1,1,6,0,"No","No","No"
"04032954a1",1,1,10,0,"No","No","No"
"040cb28545",1,1,7,0,"No","No","No"
"040d577348",1,1,6,0,"No","No","No"
"0448e972ad",0,1,0,1,"No","No","No"
"0454a2fd48",1,1,7,0,"Yes","Yes","Yes"
"04567427d9",0,1,0,1,"No","No","No"
"046eaaa1a9",1,1,6,0,"No","No","No"
"04b9abafa6",1,1,6,0,"No","No","No"
"04ce19e4f2",1,1,8,0,"No","No","No"
"04d057f627",1,1,9,0,"No","No","No"
"0532d5e627",1,1,6,0,"No","No","No"
"055519af11",1,1,3,0,"Yes","Yes","Yes"
"055a3cdccd",0,1,0,1,"No","No","No"
"056407924a",1,1,7,0,"No","No","No"
"05694ca542",1,1,6,0,"No","No","No"
"056c1f96b9",0,1,0,1,"No","No","No"
"0577837a0b",1,1,12,0,"No","No","No"
"05ab113116",1,1,10,0,"No","Yes","No"
"05cf586265",1,1,8,0,"No","No","No"
"05d566a0db",1,1,5,0,"No","No","No"
"06077fbdb1",1,1,8,0,"No","Yes","Yes"
"0608f49178",1,1,10,0,"No","No","No"
"0611f419d4",1,1,6,0,"No","No","No"
"0625ba8a1e",1,1,4,0,"No","No","No"
"064595f7ac",1,1,24,0,"No","No","No"
"064c86d7f1",1,1,6,0,"No","Yes","No"
"066ae31dc1",1,1,5,0,"No","No","No"
"06a08547a3",1,1,62,0,"No","No","No"
"06a896d651",1,1,7,0,"No","No","No"
"06ade722be",1,1,14,0,"No","No","No"
"06b21b6f82",1,1,7,0,"No","No","No"
"06cae9ef3e",1,1,12,0,"No","No","No"
"06db14c9e6",1,1,7,0,"No","No","No"
"07029fa848",1,1,6,0,"No","No","No"
"070454d5f6",0,1,0,1,"No","No","No"
"072ff58847",1,1,8,0,"No","No","No"
"07484bb05e",1,1,7,0,"No","No","No"
"074eee8265",0,1,0,1,"No","No","No"
"07516a43f4",1,1,6,0,"No","No","No"
"0773dc0b5b",1,1,9,0,"Yes","No","No"
"0775c1902e",0,1,0,1,"No","No","No"
"077ad38898",0,1,1,1,"No","No","No"
"077c7abf1c",1,1,8,0,"No","No","No"
"07878673f1",0,1,1,1,"No","No","No"
"0787fad9c2",1,1,7,0,"No","No","No"
"07bef201ac",1,1,8,0,"No","No","No"
"07cc1cb988",0,1,0,1,"No","No","No"
"07d12e3a45",1,1,5,0,"Yes","Yes","Yes"
"07d8a4ff1a",0,1,1,1,"No","No","No"
"07e465838e",0,1,1,1,"No","No","No"
"080b739878",1,1,6,0,"No","No","No"
"0817a3d536",1,1,8,0,"No","No","No"
"081d7affd1",1,1,5,0,"No","No","No"
"082baf459a",1,1,11,0,"No","No","No"
"08a7a598e5",1,1,7,0,"No","No","No"
"08b8a64d47",1,1,5,0,"No","No","No"
"08bdf716a7",0,1,1,1,"No","No","No"
"08c354fae8",1,1,35,0,"No","No","No"
"08d8ad7b71",1,1,5,0,"No","No","No"
"08e238232d",1,1,28,0,"No","No","No"
"08ef83c95f",1,1,8,0,"No","No","No"
"08f2c13d93",1,1,10,0,"No","No","No"
"08f9072a76",0,1,1,1,"No","No","No"
"08faed3554",1,1,8,0,"No","No","No"
"08fe9b7c13",0,1,0,1,"No","No","No"
"091dba9590",1,1,6,0,"No","No","No"
"092fd89ea8",1,1,167,0,"No","No","No"
"09561e6b45",1,1,8,0,"Yes","Yes","No"
"0995536e4c",1,1,12,0,"No","No","No"
"0997f5328b",1,1,6,0,"No","No","No"
"09a8478dcf",1,1,3,0,"Yes","Yes","Yes"
"09be81d5db",1,1,6,0,"No","No","No"
"09e26387ee",1,1,7,0,"No","No","No"
"09e29ead5e",1,1,7,0,"No","No","No"
"09f3c953ee",1,1,8,0,"No","No","No"
"09fe64e0f9",1,1,23,0,"No","No","No"
"09ffc79a95",0,1,0,1,"No","No","No"
"0a0f0aa826",1,1,5,0,"No","No","No"
"0a149d98a1",0,1,1,1,"No","No","No"
"0a40aca67b",1,1,12,0,"No","No","No"
"0a57073d15",1,1,4,0,"No","No","No"
"0a7dda18e9",1,1,20,0,"No","No","No"
"0aa12223cf",1,1,4,0,"Yes","Yes","Yes"
"0aa77f868a",1,1,4,0,"Yes","Yes","Yes"
"0aba794072",1,1,5,0,"No","Yes","Yes"
"0ac046a726",1,1,78,0,"No","No","No"
"0ac84309db",1,1,14,0,"No","No","No"
"0ada8dfb86",1,1,9,0,"No","No","Yes"
"0ade9b0777",1,1,7,0,"No","No","No"
"0ae5e3d8e5",1,1,4,0,"No","No","No"
"0af26cdd0d",1,1,10,0,"Yes","Yes","Yes"
"0af7c017bd",0,1,0,1,"No","No","No"
"0b6c44f48e",1,1,6,0,"No","No","No"
"0b6ce11e24",1,1,6,0,"No","No","No"
"0b9939c663",1,1,5,0,"No","No","No"
"0ba68d9bf2",1,1,7,0,"No","No","No"
"0bbcda6ac9",1,1,8,0,"No","No","No"
"0c33ce44c9",1,1,20,0,"No","Yes","Yes"
"0c57648276",1,1,6,0,"No","No","No"
"0c63012f1b",1,1,9,0,"No","No","No"
"0caf7772b4",1,1,6,0,"No","No","Yes"
"0cb2b703a4",1,1,6,0,"No","No","No"
"0cd7134cee",1,1,15,0,"No","No","No"
"0ce3e979b4",1,1,6,0,"No","No","No"
"0cf65f2c05",1,1,9,0,"No","Yes","No"
"0d3941cdb7",1,1,6,0,"No","No","No"
"0d7e40b011",1,1,6,0,"No","No","No"
"0da7c1ee25",1,1,7,0,"No","No","No"
"0dbf20e7ab",1,1,2,0,"No","Yes","No"
"0df019e539",1,1,6,0,"No","No","No"
"0df7489247",1,1,10,0,"No","No","No"
"0df8dc2021",0,1,0,1,"No","No","No"
"0e0aeae181",1,1,2,0,"No","No","No"
"0e0ca4a73f",1,1,6,0,"No","No","No"
"0e1ba08d07",1,1,15,0,"No","No","No"
"0e422e161d",1,1,6,0,"No","No","No"
"0e4bc94008",1,1,6,0,"No","No","No"
"0e7dc71134",1,1,11,0,"No","No","No"
"0e93b789a0",1,1,8,0,"No","No","No"
"0e974570f0",0,1,0,1,"No","No","No"
"0eb7b45460",0,1,1,1,"No","No","No"
"0ef9609d7c",1,1,4,0,"No","No","No"
"0f38825577",1,1,7,0,"No","No","No"
"0f39ac20e2",1,1,8,0,"No","No","No"
"0f3b503159",1,1,19,0,"No","No","No"
"0f46f0a81e",1,1,4,0,"No","No","No"
"0f4cca3c25",1,1,8,0,"No","No","No"
"0f503448b8",0,1,1,1,"No","No","No"
"0f54490e6a",1,1,35,0,"No","No","No"
"0f75e002b7",0,1,0,1,"No","No","No"
"0f828b7ba2",0,1,1,1,"No","No","No"
"0f874e1f0a",1,1,10,0,"No","No","No"
"0facafc97b",1,1,4,0,"No","No","No"
"0fb915ee2d",1,1,7,0,"No","No","No"
"0fcd99ddee",1,1,16,0,"No","No","No"
"1.67E+14",0,1,0,1,"No","No","No"
"1.81E+08",1,1,6,0,"No","Yes","No"
"100aaac030",1,1,11,0,"No","No","No"
"1017e475d9",1,1,7,0,"No","No","No"
"1023e7f5be",0,1,0,1,"No","No","No"
"10276f7e67",1,1,10,0,"No","No","No"
"105fe6616b",1,1,6,0,"No","No","No"
"10cc2e73d8",1,1,6,0,"No","No","No"
"10d7cfdf61",0,1,0,1,"No","No","No"
"10d9c0f5b0",1,1,7,0,"No","No","No"
"10e07c7ee6",1,1,9,0,"No","No","No"
"10e0d10271",0,1,0,1,"No","No","No"
"10e96ce8d3",1,1,3,0,"No","No","No"
"10fbb9e358",1,1,10,0,"No","No","No"
"110dc08b8a",1,1,6,0,"No","No","No"
"110e5881e8",1,1,6,0,"No","No","No"
"1116366a38",1,1,6,0,"No","No","No"
"11375391ec",1,1,5,0,"No","No","No"
"11652513a9",1,1,7,0,"No","No","No"
"11782445d2",1,1,5,0,"Yes","Yes","Yes"
"117bc63e2b",1,1,8,0,"No","No","No"
"1183a5265b",1,1,5,0,"No","No","No"
"11cde98e58",0,1,0,1,"No","No","No"
"11d19373ff",0,1,0,1,"No","No","No"
"11ea1c04cf",1,1,11,0,"No","No","No"
"11f7c2296c",1,1,5,0,"Yes","Yes","Yes"
"1204267009",1,1,11,0,"No","No","No"
"121436393f",1,1,8,0,"No","No","No"
"12370d2db4",1,1,6,0,"No","No","No"
"1256c47ca2",1,1,9,0,"No","No","No"
"126c57cce6",1,1,8,0,"No","No","No"
"12a3155f7a",1,1,9,0,"No","No","No"
"12a513a250",1,1,4,0,"No","No","No"
"12a86714a5",1,1,8,0,"No","Yes","Yes"
"12ada3521b",0,1,1,1,"No","No","No"
"12d383e67a",1,1,10,0,"No","No","No"
"12d3f6b8bf",1,1,3,0,"No","No","No"
"1309f2ca53",1,1,6,0,"No","No","No"
"131f8f9b9e",1,1,215,0,"No","Yes","No"
"13409d9c2b",1,1,5,0,"No","No","No"
"134ca2c0a9",1,1,19,0,"No","No","No"
"136a9687be",1,1,5,0,"No","No","No"
"1370294cb5",0,1,0,1,"No","No","No"
"1381e76af9",1,1,7,0,"No","No","No"
"138472e67e",1,1,5,0,"No","No","No"
"13afa5280f",1,1,10,0,"No","No","No"
"13bdbda9a5",1,1,3,0,"No","No","No"
"13c823f40d",1,1,7,0,"No","No","Yes"
"13fba86e10",0,1,0,1,"No","No","No"
"140404f0bb",0,1,0,1,"No","No","No"
"14331e548a",1,1,46,0,"No","No","No"
"1457d8dd3b",1,1,12,0,"No","No","No"
"148946ccf9",1,1,8,0,"No","No","No"
"148a6aed69",1,1,10,0,"No","No","No"
"14b298c77a",1,1,10,0,"No","No","No"
"14c907f8bc",1,1,7,0,"No","No","No"
"1503eb380b",1,1,10,0,"No","No","No"
"152cb601e0",1,1,7,0,"No","No","No"
"15458a315b",1,1,5,0,"No","No","No"
"156c815898",1,1,19,0,"No","No","Yes"
"1571378084",1,1,4,0,"No","No","No"
"157d24eeb2",1,1,6,0,"No","No","No"
"157d27f6f2",0,1,0,1,"No","No","No"
"15974aee74",1,1,9,0,"No","No","No"
"15a01b8f74",1,1,10,0,"No","No","Yes"
"15bebfc438",1,1,6,0,"No","No","No"
"15f582b251",0,1,1,1,"No","No","No"
"15fa7d5857",0,1,0,1,"No","No","No"
"15fda5246c",1,1,10,0,"No","Yes","No"
"16179830bd",1,1,7,0,"No","No","No"
"162d08de4d",1,1,4,0,"No","No","No"
"162f0bcd8e",1,1,11,0,"No","Yes","Yes"
"16428e835b",1,1,7,0,"No","No","Yes"
"1644ee7c69",1,1,11,0,"No","No","No"
"165c4bcdda",0,1,0,0,"No","No","No"
"16603f40df",1,1,9,0,"Yes","Yes","Yes"
"1664b4635f",1,1,7,0,"No","No","No"
"1674cfbf74",0,1,1,1,"No","No","No"
"167f1e9842",1,1,9,0,"No","No","No"
"16b5206061",1,1,8,0,"No","No","No"
"16b6734be9",1,1,6,0,"Yes","Yes","Yes"
"16b82021c2",0,1,0,1,"No","No","No"
"16c6155872",1,1,11,0,"Yes","Yes","Yes"
"16c70d5bda",1,1,7,0,"No","No","No"
"16f4ed0e54",1,1,7,0,"No","No","No"
"17020e18ad",1,1,6,0,"No","No","No"
"170b6f3134",1,1,7,0,"Yes","Yes","Yes"
"173acacdd2",1,1,5,0,"No","No","No"
"174c23f8a8",1,1,5,0,"Yes","Yes","Yes"
"17512ce55f",1,1,5,0,"No","No","No"
"17618c2878",1,1,7,0,"Yes","Yes","Yes"
"17a4555680",1,1,8,0,"No","No","No"
"17a4560b47",1,1,12,0,"No","No","No"
"17c57bc265",1,1,7,0,"No","No","No"
"1803b195a5",1,1,4,0,"Yes","Yes","Yes"
"1810c8d4ec",0,1,0,1,"No","No","No"
"1830c747de",1,1,6,0,"No","No","No"
"183605adda",1,1,57,0,"No","No","No"
"183abfd6d5",1,1,7,0,"No","Yes","Yes"
"1856e15908",1,1,16,0,"No","No","No"
"1889e1d321",1,1,5,0,"No","Yes","Yes"
"18b5c48846",1,1,16,0,"No","No","No"
"18c223a23a",1,1,26,0,"No","No","No"
"18c4cb4e37",1,1,6,0,"No","No","No"
"18e3018e6a",1,1,14,0,"No","No","No"
"18ed3a67b1",1,1,5,0,"No","No","No"
"190a4eff72",1,1,11,0,"No","No","No"
"1921951073",1,1,7,0,"Yes","Yes","Yes"
"19576f32b7",1,1,6,0,"No","No","No"
"1966717ef9",1,1,6,0,"No","No","No"
"197dc419e4",1,1,44,0,"No","No","No"
"198c3c2f37",1,1,7,0,"No","No","No"
"19a7d3e08c",0,1,0,1,"No","No","No"
"19af30f434",1,1,6,0,"No","No","No"
"19c424b8be",1,1,9,0,"No","No","No"
"19d1d9cb3e",1,1,6,0,"No","No","No"
"1a08bac620",0,1,1,1,"No","No","No"
"1a2e6ec1e7",0,1,1,1,"No","No","No"
"1a34e1aa79",1,1,6,0,"No","No","No"
"1a4ee8fbbd",1,1,7,0,"No","No","No"
"1a4f3907a6",1,1,6,0,"Yes","Yes","Yes"
"1a75b9ee84",1,1,10,0,"No","No","No"
"1a760fcbb3",1,1,9,0,"Yes","Yes","No"
"1a77617070",1,1,6,0,"No","Yes","No"
"1a89949d65",1,1,5,0,"No","No","No"
"1a91613619",1,1,11,0,"Yes","Yes","Yes"
"1aa13ca144",1,1,11,0,"No","No","No"
"1aba15ca79",1,1,6,0,"Yes","Yes","Yes"
"1ad80220f9",1,1,25,0,"No","No","No"
"1aea82e5d7",1,1,3,0,"Yes","Yes","Yes"
"1aeb875b91",1,1,4,0,"No","No","No"
"1aef9f1dcc",1,1,14,0,"No","No","No"
"1af26ba75f",1,1,2,0,"No","No","No"
"1afce5e795",1,1,81,0,"No","No","No"
"1b0d120dd0",1,1,7,0,"Yes","Yes","Yes"
"1b17289be0",1,1,6,0,"No","No","No"
"1b2ea154fa",1,1,8,0,"Yes","Yes","Yes"
"1b359de090",0,1,0,1,"No","No","No"
"1b35dcc05a",0,1,1,1,"No","No","No"
"1b3d007779",1,1,6,0,"Yes","Yes","Yes"
"1b66c8bbf9",1,1,14,0,"Yes","Yes","No"
"1b8fb202fb",1,1,8,0,"No","No","No"
"1b9561578f",1,1,14,0,"No","No","No"
"1bb6fec48e",1,1,6,0,"No","No","No"
"1bc851c0b7",0,1,0,1,"No","No","No"
"1bd498a805",1,1,7,0,"No","No","No"
"1bdfbc2b0e",1,1,12,0,"No","No","No"
"1c0ea1a3bd",1,1,4,0,"Yes","Yes","Yes"
"1c336db54d",1,1,7,0,"No","No","No"
"1c3d418d2b",1,1,3,0,"No","No","No"
"1c561ddcb8",1,1,10,0,"Yes","Yes","Yes"
"1c883ccdba",1,1,13,0,"No","No","No"
"1c8901a12b",1,1,13,0,"No","No","No"
"1ca905f3ca",0,1,0,1,"No","No","No"
"1cd23b4f4a",1,1,9,0,"No","No","No"
"1cd51130c1",1,1,7,0,"No","No","No"
"1d1ff0930a",1,1,6,0,"No","No","No"
"1d4ba9d35f",0,1,0,1,"No","No","No"
"1d5d851646",1,1,6,0,"No","No","No"
"1d61b7dab7",1,1,7,0,"No","No","No"
"1d72b7039e",1,1,13,0,"No","No","No"
"1d7d58c035",1,1,16,0,"No","Yes","Yes"
"1dd31e48ab",1,1,6,0,"No","No","No"
"1ddf53144d",1,1,7,0,"No","No","No"
"1de1da93f8",1,1,34,0,"No","No","No"
"1deda0ea19",1,1,5,0,"Yes","Yes","Yes"
"1e1b59f9d8",1,1,12,0,"No","No","No"
"1e1b9bf28f",0,1,1,1,"No","No","No"
"1e3d8b6e04",1,1,11,0,"No","No","No"
"1e52a5a84f",1,1,9,0,"No","Yes","Yes"
"1e91f4845e",0,1,0,1,"No","No","No"
"1e990a2819",1,1,9,0,"No","No","No"
"1e9eaf142c",1,1,5,0,"No","No","No"
"1f1e53d895",0,1,1,1,"No","No","No"
"1f4d9d2ecc",0,1,0,1,"No","No","No"
"1f64ab3461",1,1,7,0,"No","No","No"
"1f766ec49a",1,1,14,0,"No","Yes","Yes"
"1f845d7e4a",0,1,0,1,"No","No","No"
"1fb6d965da",1,1,4,0,"Yes","Yes","Yes"
"1fb733c59c",1,1,8,0,"No","No","No"
"1fcc1622e6",1,1,5,0,"No","No","No"
"1ff0d57156",0,1,0,1,"No","No","No"
"1ffbd75991",1,1,8,0,"No","No","No"
"203e44f7d0",1,1,7,0,"No","No","No"
"203fb396d4",1,1,9,0,"No","No","No"
"206111d025",1,1,4,0,"No","No","No"
"207c516955",1,1,14,0,"No","No","No"
"20a388bf86",1,1,6,0,"No","No","No"
"20b5562f41",1,1,5,0,"No","No","No"
"20b8692445",1,1,7,0,"No","No","No"
"20b9cf659d",0,1,0,1,"No","No","No"
"20bdd98c48",1,1,10,0,"No","No","No"
"20c3b13a7d",1,1,6,0,"No","No","No"
"2111700eec",0,1,1,1,"No","No","No"
"211c87ba9b",1,1,8,0,"No","No","No"
"2124282b0d",1,1,8,0,"No","No","No"
"212bc23143",1,1,7,0,"No","No","No"
"2136b5f92b",1,1,7,0,"No","No","No"
"214f85021c",1,1,7,0,"No","No","No"
"2165008d65",1,1,9,0,"Yes","Yes","Yes"
"21687e25ff",1,1,125,0,"No","No","No"
"2185bc96a7",1,1,9,0,"No","No","No"
"218d0bc07c",1,1,7,0,"No","No","No"
"219046dc7d",1,1,5,0,"No","No","No"
"219edf0424",1,1,8,0,"No","No","No"
"21c549a4fc",1,1,6,0,"No","No","No"
"21d359bec2",1,1,19,0,"No","No","No"
"21d50c4443",1,1,12,0,"No","No","No"
"21e41f0a8d",1,1,80,0,"No","No","No"
"221d89603b",1,1,6,0,"No","Yes","Yes"
"22213b642d",0,1,0,1,"No","No","No"
"224d1d0696",0,1,0,1,"No","No","No"
"22590b1791",1,1,5,0,"No","No","No"
"2260462c5c",1,1,7,0,"No","No","No"
"2261fed924",1,1,7,0,"No","No","No"
"226d1001ba",1,1,6,0,"No","No","No"
"2291fdaf6f",1,1,12,0,"No","No","No"
"229a0ca907",1,1,9,0,"No","No","No"
"22af188c32",0,1,0,1,"No","No","No"
"22afa9168f",1,1,14,0,"No","No","No"
